domain,task,encoder,num_samples,train_size,val_size,test_size,num_classes,min_class_frac,task_type,source,knn_accuracy,linear_accuracy,mlp_accuracy,tabicl_zeroshot_accuracy,xgboost_accuracy,knn_auroc,linear_auroc,mlp_auroc,tabicl_zeroshot_auroc,xgboost_auroc
graphs,graph_nci1,pyg_sage,4110,2466,822,822,2,0.4995,binary,PyG TUDataset (NCI1),0.7214111922141119,0.7141119221411192,0.7384428223844283,0.6070559610705596,0.7481751824817519,0.7662871993417041,0.7640435469835012,0.795650037591537,0.6729447493206884,0.8134838178793637
graphs,graph_proteins,pyg_gat,1113,781,166,166,2,0.4043,,TUDataset (PROTEINS),0.7469879518072289,0.7228915662650602,0.7650602409638554,0.6626506024096386,0.7349397590361446,0.8073270013568521,0.742499623096638,0.763681592039801,0.7780793004673602,0.7994120307553143
graphs,graph_proteins,pyg_gcn,1113,781,166,166,2,0.4043,,TUDataset (PROTEINS),0.7168674698795181,0.7228915662650602,0.7409638554216867,0.5963855421686747,0.6987951807228916,0.7418965777174732,0.7189808533092115,0.7379767827529021,0.6410372380521634,0.7595356550580431
graphs,graph_proteins,pyg_gin,1113,781,166,166,2,0.4043,,TUDataset (PROTEINS),0.7168674698795181,0.7469879518072289,0.7590361445783133,0.608433734939759,0.7650602409638554,0.8028795416855119,0.7963214231870949,0.8344640434192673,0.6368913010704055,0.8400422131765416
graphs,graph_proteins,pyg_sage,1113,781,166,166,2,0.4043,,TUDataset (PROTEINS),0.7289156626506024,0.7530120481927711,0.7409638554216867,0.42168674698795183,0.6927710843373494,0.7602140811096034,0.7875772651892055,0.7682798130559325,0.3892657922508669,0.7782300618121514
graphs,graph_ptc_mr,pyg_gat,344,206,69,69,2,0.4419,binary,PyG TUDataset (PTC_MR),0.5797101449275363,0.6231884057971014,0.5217391304347826,0.6231884057971014,0.6231884057971014,0.5751273344651954,0.5033955857385399,0.48132427843803055,0.6595925297113752,0.6107809847198642
graphs,graph_ptc_mr,pyg_gcn,344,206,69,69,2,0.4419,binary,PyG TUDataset (PTC_MR),0.5797101449275363,0.5217391304347826,0.5362318840579711,0.4782608695652174,0.5797101449275363,0.5857385398981323,0.532258064516129,0.5203735144312394,0.46477079796264853,0.5611205432937182
graphs,graph_ptc_mr,pyg_gin,344,206,69,69,2,0.4419,binary,PyG TUDataset (PTC_MR),0.5942028985507246,0.5507246376811594,0.5797101449275363,0.4492753623188406,0.5652173913043478,0.6494057724957555,0.5509337860780985,0.5976230899830222,0.4028013582342954,0.5611205432937182
graphs,graph_ptc_mr,pyg_sage,344,206,69,69,2,0.4419,binary,PyG TUDataset (PTC_MR),0.5942028985507246,0.5362318840579711,0.5217391304347826,0.4782608695652174,0.6231884057971014,0.5823429541595926,0.48047538200339557,0.4872665534804754,0.44100169779286924,0.6307300509337861
molecules,tdc_ames,chemberta_77m_mtr,5727,4000,727,1000,2,0.4741,,Therapeutics Data Commons (TOX),0.715,0.736,0.756,0.752,0.728,0.7806595671590517,0.7963267409334054,0.8244753071273168,0.8292192177454973,0.8079615906823052
molecules,tdc_ames,chemberta_v2,5727,4000,727,1000,2,0.4741,,Therapeutics Data Commons (TOX),0.711,0.701,0.73,0.722,0.708,0.7673316320688358,0.7506584220771785,0.789133173021871,0.7916687114557261,0.7657694132273315
molecules,tdc_ames,chemberta_zinc_base,5727,4000,727,1000,2,0.4741,,Therapeutics Data Commons (TOX),0.691,0.667,0.703,0.688,0.702,0.7476075968003141,0.7041149335034598,0.7586576368781797,0.7679348448414062,0.760825113281314
molecules,tdc_ames,pubchem10m_bpe,5727,4000,727,1000,2,0.4741,,Therapeutics Data Commons (TOX),0.758,0.743,0.776,0.773,0.749,0.8080065760416155,0.7960363808869477,0.83423304051954,0.8418253422976887,0.8210400615072551
molecules,tdc_ames,smiles_bert,5727,4000,727,1000,2,0.4741,,Therapeutics Data Commons (TOX),0.675,0.645,0.658,0.681,0.679,0.7261291325186894,0.69066431106967,0.7261700282998806,0.7532921103858925,0.7436325268685284
molecules,tdc_b3db_classification,chemberta_77m_mtr,5616,4000,616,1000,2,0.3504,,Therapeutics Data Commons (ADME),0.866,0.825,0.87,0.831,0.849,0.8823611274914493,0.8798301686519636,0.9171836301450643,0.9177803986319142,0.9003231513150135
molecules,tdc_b3db_classification,chemberta_v2,5616,4000,616,1000,2,0.3504,,Therapeutics Data Commons (ADME),0.872,0.82,0.835,0.845,0.856,0.9147257931359829,0.8758815898101192,0.8952329284113691,0.9264984078311123,0.9126595117348744
molecules,tdc_b3db_classification,chemberta_zinc_base,5616,4000,616,1000,2,0.3504,,Therapeutics Data Commons (ADME),0.85,0.827,0.856,0.852,0.857,0.9011015449935134,0.8802877697841727,0.9027998584738764,0.9232881235994811,0.9098525769548296
molecules,tdc_b3db_classification,pubchem10m_bpe,5616,4000,616,1000,2,0.3504,,Therapeutics Data Commons (ADME),0.886,0.833,0.866,0.856,0.873,0.9024318905531313,0.8862413020403349,0.9057011440028304,0.9356032551008373,0.918471517867673
molecules,tdc_b3db_classification,smiles_bert,5616,4000,616,1000,2,0.3504,,Therapeutics Data Commons (ADME),0.865,0.837,0.838,0.863,0.88,0.9232786885245902,0.8858214412076896,0.9018138931477768,0.9255643354169124,0.9271517867673074
molecules,tdc_bbb_martins,chemberta_77m_mtr,2030,1421,203,406,2,0.236,,Therapeutics Data Commons (ADME),0.896551724137931,0.8448275862068966,0.854679802955665,0.8842364532019704,0.8694581280788177,0.8773061288305191,0.8565118824265167,0.8971622889305815,0.9144973420888056,0.8874687304565354
molecules,tdc_bbb_martins,chemberta_v2,2030,1421,203,406,2,0.236,,Therapeutics Data Commons (ADME),0.8448275862068966,0.8669950738916257,0.8817733990147784,0.8793103448275862,0.8866995073891626,0.8398999374609131,0.877775171982489,0.879416823014384,0.894543464665416,0.8678470919324578
molecules,tdc_bbb_martins,chemberta_zinc_base,2030,1421,203,406,2,0.236,,Therapeutics Data Commons (ADME),0.8571428571428571,0.8374384236453202,0.8669950738916257,0.8694581280788177,0.874384236453202,0.8226235146966854,0.8135944340212633,0.8789086929330833,0.8499843652282676,0.8494762351469669
